,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,no2,no2,no2,no2,no2,no2,no2,no2,o3,o3,o3,o3,o3,o3,o3,o3,co,co,co,co,co,co,co,co,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
MY,7.0,4.437142857142857,2.124364330693728,2.75,2.825,3.11,5.825,7.9,7.0,5.331428571428572,2.0186169239641,3.65,3.84,4.47,6.324999999999999,8.87,7.0,1.3714285714285714,0.7258197336214315,0.35,1.045,1.28,1.6400000000000001,2.6,7.0,26.725714285714282,15.163607593118968,7.52,15.8,26.23,36.510000000000005,48.71,7.0,138.02,13.52685969962479,120.93,128.595,140.6,142.77499999999998,161.87,7.0,26.524285714285714,1.6076469050847488,24.35,25.435,26.93,27.384999999999998,28.75,7.0,82.85714285714286,9.441549509633319,74.0,76.0,79.0,89.5,96.0
MZ,5.0,2.59,0.3695943722515265,2.1,2.48,2.49,2.8,3.08,5.0,6.574000000000001,1.7605198096016983,4.0,5.67,6.95,8.09,8.16,5.0,0.30799999999999994,0.20498780451529303,0.09,0.13,0.3,0.45,0.57,5.0,39.242,8.76972747581132,33.37,34.07,35.89,38.33,54.55,5.0,95.356,17.899861172646006,77.78,84.72,87.7,104.41,122.17,5.0,22.990000000000002,1.9848299675287044,21.17,21.48,22.37,23.97,25.96,5.0,83.4,8.203657720797473,77.0,78.0,80.0,85.0,97.0
NC,3.0,2.936666666666666,1.263816969870769,1.62,2.335,3.05,3.5949999999999998,4.14,3.0,3.9666666666666672,1.4558273707185665,2.3,3.455,4.61,4.800000000000001,4.99,3.0,0.4766666666666666,0.6092892033618628,0.11,0.125,0.14,0.6599999999999999,1.18,3.0,24.38,2.977431779235252,21.07,23.15,25.23,26.035,26.84,3.0,70.55333333333333,3.9132382157662353,66.31,68.82,71.33,72.675,74.02,3.0,25.826666666666664,0.48221710186733696,25.32,25.6,25.88,26.08,26.28,3.0,82.66666666666667,0.5773502691896257,82.0,82.5,83.0,83.0,83.0
NF,3.0,2.8766666666666665,1.1830610015266894,1.99,2.205,2.42,3.32,4.22,3.0,8.89,5.213712688670138,5.83,5.88,5.93,10.42,14.91,3.0,0.16333333333333333,0.055075705472861024,0.1,0.14500000000000002,0.19,0.195,0.2,3.0,47.973333333333336,3.918384020656134,44.82,45.78,46.74,49.55,52.36,3.0,78.91666666666667,17.500906643180898,67.55,68.84,70.13,84.6,99.07,3.0,20.636666666666667,0.2494660965609035,20.45,20.494999999999997,20.54,20.73,20.92,3.0,91.66666666666667,2.081665999466133,90.0,90.5,91.0,92.5,94.0
NG,3.0,1.17,0.4430575583375144,0.76,0.935,1.11,1.375,1.64,3.0,2.15,0.5985816569190873,1.77,1.8050000000000002,1.84,2.34,2.84,3.0,0.14666666666666664,0.08962886439832501,0.09,0.095,0.1,0.175,0.25,3.0,37.03666666666667,0.7157047808512482,36.34,36.67,37.0,37.385000000000005,37.77,3.0,104.46666666666665,3.4924251363963865,100.51,103.14,105.77,106.445,107.12,3.0,24.006666666666664,0.2746512940681941,23.7,23.895,24.09,24.16,24.23,3.0,94.33333333333333,0.5773502691896257,94.0,94.0,94.0,94.5,95.0
NI,3.0,5.55,4.221599223043325,0.68,4.24,7.8,7.984999999999999,8.17,3.0,6.1000000000000005,4.529779244069185,0.87,4.76,8.65,8.715,8.78,3.0,0.2866666666666667,0.1877054430040145,0.07,0.23,0.39,0.395,0.4,3.0,44.81666666666666,6.308005495664486,39.11,41.43,43.75,47.67,51.59,3.0,103.71,12.457194708280026,92.43,97.025,101.62,109.35,117.08,3.0,27.686666666666667,0.6422097269065101,26.97,27.424999999999997,27.88,28.045,28.21,3.0,70.66666666666667,4.163331998932265,66.0,69.0,72.0,73.0,74.0
NO,20.0,0.579,0.27133005731028026,0.5,0.5,0.5,0.5,1.68,20.0,1.203,1.338200283963503,0.5,0.5575000000000001,0.745,1.2574999999999998,6.46,20.0,0.9274999999999999,0.5970001763201714,0.1,0.575,0.74,1.2125,2.32,20.0,48.342,17.59658417809667,15.31,37.504999999999995,42.77,60.457499999999996,81.74,20.0,116.362,10.785936554997024,103.23,106.9125,112.895,123.91250000000001,136.47,20.0,2.899,4.6507089442589855,-7.56,-0.3975,5.125,6.015,8.67,20.0,81.35,12.088598368972136,61.0,72.0,79.5,91.5,100.0
NR,2.0,1.07,0.29698484809835,0.86,0.965,1.07,1.175,1.28,2.0,2.085,0.459619407771256,1.76,1.9225,2.085,2.2475,2.41,2.0,0.005,0.007071067811865475,0.0,0.0025,0.005,0.0075,0.01,2.0,40.06,3.563818177180199,37.54,38.8,40.06,41.32,42.58,2.0,68.495,1.1950104602052638,67.65,68.0725,68.495,68.9175,69.34,2.0,27.63,0.028284271247461298,27.61,27.619999999999997,27.63,27.64,27.65,2.0,75.5,0.7071067811865476,75.0,75.25,75.5,75.75,76.0
NU,1.0,5.54,,5.54,5.54,5.54,5.54,5.54,1.0,13.98,,13.98,13.98,13.98,13.98,13.98,1.0,0.02,,0.02,0.02,0.02,0.02,0.02,1.0,41.27,,41.27,41.27,41.27,41.27,41.27,1.0,71.15,,71.15,71.15,71.15,71.15,71.15,1.0,25.31,,25.31,25.31,25.31,25.31,25.31,1.0,83.0,,83.0,83.0,83.0,83.0,83.0
NZ,17.0,0.8147058823529411,0.5017235001355181,0.5,0.5,0.6,1.0,2.55,17.0,2.5776470588235294,2.050083929415344,0.5,1.4,2.03,3.33,9.11,17.0,0.16411764705882353,0.23345392542023716,0.01,0.04,0.07,0.22,0.97,17.0,46.455882352941174,7.929498769486892,24.64,42.89,48.61,50.58,55.09,17.0,65.40529411764706,2.455234504194708,60.65,64.52,66.06,67.28,68.67,17.0,11.12,4.387574785687419,1.18,9.39,11.41,13.79,17.32,17.0,69.6470588235294,13.901174305029901,42.0,61.0,74.0,76.0,92.0
PA,2.0,1.33,0.31112698372208086,1.11,1.2200000000000002,1.33,1.44,1.55,2.0,3.1399999999999997,1.5273506473629423,2.06,2.6,3.1399999999999997,3.6799999999999997,4.22,2.0,0.30000000000000004,0.33941125496954283,0.06,0.18,0.30000000000000004,0.42000000000000004,0.54,2.0,23.95,2.0930360723121813,22.47,23.21,23.95,24.689999999999998,25.43,2.0,78.32,2.3758787847867993,76.64,77.48,78.32,79.16,80.0,2.0,24.83,1.9516147160748722,23.45,24.14,24.83,25.52,26.21,2.0,87.5,3.5355339059327378,85.0,86.25,87.5,88.75,90.0
PE,15.0,2.8953333333333333,1.8585473077751062,0.5,0.785,3.47,4.04,5.49,15.0,7.167333333333334,5.979814219124044,0.5,0.945,6.62,11.48,17.39,15.0,0.28733333333333333,0.6685428361814401,0.01,0.02,0.07,0.16999999999999998,2.64,15.0,40.202,25.21978310771129,4.24,17.355,53.48,63.185,70.0,15.0,81.99733333333333,17.05393480640032,54.27,73.14500000000001,75.0,93.83,119.47,15.0,21.319333333333336,5.084623130670786,11.25,18.049999999999997,19.74,26.685000000000002,27.73,15.0,70.0,19.14605516996722,31.0,60.0,76.0,82.0,94.0
PF,10.0,1.518,0.6593565887371651,0.91,1.0175,1.285,1.7825,2.78,10.0,5.547,1.9706177824338347,3.06,3.9175,5.15,7.0425,8.68,10.0,0.026000000000000002,0.026331223544175334,0.01,0.01,0.01,0.04,0.07,10.0,40.846999999999994,5.096443313178755,30.28,38.8425,40.67,42.9975,48.46,10.0,74.31300000000002,2.4980705888078223,71.14,73.215,74.215,74.925,79.72,10.0,24.792,1.7616898453221301,22.26,23.14,25.275,26.3975,26.76,10.0,75.3,1.494434118097326,72.0,75.0,75.5,76.0,77.0
PG,11.0,2.567272727272727,3.9720349719233106,0.52,0.8200000000000001,1.42,2.13,14.37,11.0,4.237272727272727,4.640597140259195,0.61,1.025,2.0,5.9399999999999995,14.51,11.0,0.10090909090909092,0.06503146091770436,0.0,0.06,0.1,0.125,0.21,11.0,25.122727272727275,10.06372305949353,1.47,22.75,27.26,31.34,35.96,11.0,64.51454545454546,6.800025534711416,52.66,60.495000000000005,61.93,69.78,74.5,11.0,27.227272727272727,1.8674104578752413,22.41,27.09,27.86,28.23,28.88,11.0,79.54545454545455,10.181980518186393,68.0,73.0,75.0,86.5,100.0
PH,12.0,2.8174999999999994,3.3006944861512237,0.5,1.1225,1.4500000000000002,2.7625,12.07,12.0,3.5500000000000003,3.239407914475057,1.09,1.7225000000000001,2.535,3.4274999999999998,12.78,12.0,0.5766666666666665,0.5408466987189174,0.1,0.16499999999999998,0.33,0.9175,1.69,12.0,32.115833333333335,15.918333888566318,2.63,26.722499999999997,34.09,45.387499999999996,47.84,12.0,134.70666666666668,23.163581263908586,80.61,124.5625,138.75,151.14499999999998,162.13,12.0,27.1275,1.5321887196841235,23.98,26.3475,26.915,28.635,29.19,12.0,80.41666666666667,6.666856057915882,72.0,76.0,79.5,85.0,95.0
PN,1.0,1.59,,1.59,1.59,1.59,1.59,1.59,1.0,4.29,,4.29,4.29,4.29,4.29,4.29,1.0,0.01,,0.01,0.01,0.01,0.01,0.01,1.0,46.5,,46.5,46.5,46.5,46.5,46.5,1.0,67.51,,67.51,67.51,67.51,67.51,67.51,1.0,21.21,,21.21,21.21,21.21,21.21,21.21,1.0,83.0,,83.0,83.0,83.0,83.0,83.0
PR,2.0,2.09,0.08485281374238578,2.03,2.0599999999999996,2.09,2.12,2.15,2.0,9.545,0.615182899632297,9.11,9.3275,9.545,9.7625,9.98,2.0,0.21000000000000002,0.05656854249492379,0.17,0.19,0.21000000000000002,0.23,0.25,2.0,35.2,0.3535533905932738,34.95,35.075,35.2,35.325,35.45,2.0,127.025,3.189051583151333,124.77,125.8975,127.025,128.1525,129.28,2.0,30.490000000000002,0.6788225099390838,30.01,30.25,30.490000000000002,30.73,30.97,2.0,73.5,3.5355339059327378,71.0,72.25,73.5,74.75,76.0
PT,7.0,1.2714285714285716,0.36338357013989925,0.91,1.04,1.14,1.46,1.85,7.0,4.841428571428572,2.2820416923698583,2.46,3.79,4.05,5.199999999999999,9.4,7.0,0.2557142857142857,0.08638231741453087,0.12,0.21000000000000002,0.24,0.32499999999999996,0.36,7.0,89.48714285714287,9.49717451716687,69.79,89.5,90.75,94.22,98.43,7.0,95.48714285714286,4.08829513891269,88.79,93.81,96.52,97.39500000000001,100.69,7.0,20.04714285714286,1.7354222760442133,17.33,18.87,20.79,21.085,22.3,7.0,64.42857142857143,4.68533680244878,58.0,62.5,63.0,66.0,73.0
PW,4.0,0.7125,0.15713582235335985,0.5,0.6425,0.75,0.8200000000000001,0.85,4.0,1.41,0.3891015291668744,0.96,1.1475,1.4649999999999999,1.7275,1.75,4.0,0.105,0.02886751345948129,0.07,0.0925,0.10500000000000001,0.11750000000000001,0.14,4.0,25.775000000000002,2.5227167894950075,22.03,25.54,26.77,27.005,27.53,4.0,115.76249999999999,6.995190609745149,105.71,113.9975,117.84,119.605,121.66,4.0,27.5475,0.9819156447136033,26.21,27.125,27.79,28.2125,28.4,4.0,74.75,8.05708797684788,68.0,69.5,72.5,77.75,86.0
PY,4.0,1.8575000000000002,0.8348003753393183,0.94,1.2625000000000002,1.9100000000000001,2.505,2.67,4.0,2.935,1.6266222671536255,1.67,1.7375,2.46,3.6575,5.15,4.0,0.595,0.5683602144180513,0.17,0.29000000000000004,0.39,0.6950000000000001,1.43,4.0,40.8475,7.822115549304208,31.77,35.895,41.205,46.1575,49.21,4.0,92.71000000000001,22.25114678692614,77.85,78.0225,83.995,98.6825,125.0,4.0,22.432499999999997,3.7036322261621315,18.02,20.48,22.46,24.4125,26.79,4.0,64.0,18.65475810617763,47.0,51.5,60.0,72.5,89.0
RE,1.0,1.53,,1.53,1.53,1.53,1.53,1.53,1.0,5.87,,5.87,5.87,5.87,5.87,5.87,1.0,0.09,,0.09,0.09,0.09,0.09,0.09,1.0,70.03,,70.03,70.03,70.03,70.03,70.03,1.0,79.85,,79.85,79.85,79.85,79.85,79.85,1.0,24.02,,24.02,24.02,24.02,24.02,24.02,1.0,69.0,,69.0,69.0,69.0,69.0,69.0
RU,304.0,1.2479276315789474,2.0930125732324742,0.5,0.5,0.5,0.9025,17.28,304.0,1.6990131578947372,2.872026862140394,0.5,0.5,0.51,1.4175,18.05,304.0,0.5116118421052631,0.6451042083224038,0.01,0.05,0.2,0.7725,2.8,304.0,59.95812499999999,18.404086684858754,20.13,45.2275,59.870000000000005,74.68,97.66,304.0,121.04651315789474,12.453371447486306,85.76,111.8,121.0,127.825,161.24,304.0,-8.37236842105263,10.300198962277273,-28.45,-16.2925,-8.34,1.0550000000000002,15.43,304.0,89.5032894736842,11.332070893169067,35.0,83.75,95.0,98.0,100.0
SB,4.0,1.4375,0.7590070267571088,0.69,0.8325,1.4549999999999998,2.0599999999999996,2.15,4.0,4.8975,3.357750983421294,1.82,2.0975,4.8,7.6,8.17,4.0,0.0125,0.005,0.01,0.01,0.01,0.0125,0.02,4.0,22.8725,0.9624404743497983,21.73,22.345,22.884999999999998,23.412499999999998,23.99,4.0,65.7525,4.339380716185206,60.96,62.655,66.13,69.2275,69.79,4.0,28.430000000000003,0.20428737928059312,28.26,28.305,28.37,28.495,28.72,4.0,76.25,0.9574271077563381,75.0,75.75,76.5,77.0,77.0
SC,1.0,4.69,,4.69,4.69,4.69,4.69,4.69,1.0,13.57,,13.57,13.57,13.57,13.57,13.57,1.0,0.04,,0.04,0.04,0.04,0.04,0.04,1.0,25.21,,25.21,25.21,25.21,25.21,25.21,1.0,72.69,,72.69,72.69,72.69,72.69,72.69,1.0,26.42,,26.42,26.42,26.42,26.42,26.42,1.0,84.0,,84.0,84.0,84.0,84.0,84.0
SE,18.0,0.5066666666666667,0.028284271247461898,0.5,0.5,0.5,0.5,0.62,18.0,0.5716666666666667,0.1790908412280335,0.5,0.5,0.5,0.5175000000000001,1.21,18.0,1.2844444444444445,0.83848057413551,0.23,0.5675,1.16,2.0375,2.68,18.0,53.145,7.4271808047119965,41.97,48.050000000000004,53.195,55.152499999999996,69.73,18.0,116.68222222222221,7.197468145981495,102.91,112.215,115.87,121.2575,130.2,18.0,3.0288888888888885,3.1971658200734216,-2.13,1.5825,2.385,4.5025,9.77,18.0,92.61111111111111,5.658298319219396,76.0,89.25,95.0,96.0,99.0
SH,4.0,1.8325,0.4072161588149469,1.24,1.7275,1.995,2.1,2.1,4.0,7.75,2.409661110336195,4.78,6.295,8.215,9.67,9.79,4.0,0.0325,0.009574271077563382,0.02,0.0275,0.035,0.04,0.04,4.0,56.355000000000004,8.374526852306342,47.67,49.957499999999996,56.825,63.2225,64.1,4.0,71.855,5.090104779537123,66.11,68.465,72.02000000000001,75.41,77.27,4.0,19.715,4.404879869720248,13.57,18.0325,21.005,22.6875,23.28,4.0,72.75,5.5,65.0,71.75,74.0,75.0,78.0
SJ,11.0,0.5245454545454545,0.05502065727772369,0.5,0.5,0.5,0.515,0.68,11.0,0.7600000000000001,0.3547393409251362,0.5,0.53,0.58,0.89,1.69,11.0,0.03090909090909091,0.013751033019046574,0.02,0.02,0.02,0.045,0.05,11.0,77.17,7.117628818644592,68.28,71.265,74.65,83.30000000000001,88.34,11.0,110.65272727272728,3.8661533619583492,104.49,107.835,111.9,113.66,115.73,11.0,-1.3,2.697995552257268,-7.15,-1.605,-0.64,-0.14500000000000002,1.96,11.0,83.0,12.00833044182246,60.0,78.5,84.0,90.0,99.0
SL,1.0,1.52,,1.52,1.52,1.52,1.52,1.52,1.0,2.74,,2.74,2.74,2.74,2.74,2.74,1.0,0.43,,0.43,0.43,0.43,0.43,0.43,1.0,35.13,,35.13,35.13,35.13,35.13,35.13,1.0,112.45,,112.45,112.45,112.45,112.45,112.45,1.0,23.0,,23.0,23.0,23.0,23.0,23.0,1.0,98.0,,98.0,98.0,98.0,98.0,98.0
SO,5.0,2.716,1.0336488765533487,1.92,2.0,2.24,3.03,4.39,5.0,9.9,3.9385911186615963,6.61,6.97,8.18,11.85,15.89,5.0,0.06000000000000001,0.04636809247747852,0.03,0.03,0.04,0.06,0.14,5.0,30.895999999999997,3.472071427836704,28.07,28.87,29.18,31.77,36.59,5.0,84.934,5.186957682495592,82.21,82.21,82.44,83.66,94.15,5.0,25.450000000000003,0.7978408362574577,24.1,25.46,25.61,26.01,26.07,5.0,83.2,1.3038404810405297,81.0,83.0,84.0,84.0,84.0
SR,2.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,2.0,0.845,0.03535533905932741,0.82,0.8325,0.845,0.8574999999999999,0.87,2.0,0.435,0.5020458146424487,0.08,0.2575,0.435,0.6125,0.79,2.0,34.17,7.325626253092635,28.99,31.58,34.17,36.76,39.35,2.0,109.735,1.8314065632731604,108.44,109.0875,109.735,110.3825,111.03,2.0,27.494999999999997,0.09192388155425048,27.43,27.4625,27.494999999999997,27.5275,27.56,2.0,70.5,19.091883092036785,57.0,63.75,70.5,77.25,84.0
SS,8.0,2.4475000000000002,1.5551550221303159,0.57,1.2475,2.125,3.7325,4.96,8.0,4.6975,3.7573879605005236,1.24,1.585,3.6450000000000005,6.952500000000001,11.72,8.0,0.58375,0.5080196143569937,0.02,0.0275,0.765,0.8075,1.4,8.0,9.175,3.2040108792396,4.66,6.7475000000000005,9.629999999999999,11.925,12.55,8.0,114.11250000000001,13.773479433835364,100.32,101.9025,110.215,126.54249999999999,133.81,8.0,23.8325,2.534644241027018,20.99,21.9725,22.86,25.825,27.46,8.0,70.625,14.754539253105419,50.0,62.0,68.5,80.75,91.0
SV,1.0,3.47,,3.47,3.47,3.47,3.47,3.47,1.0,4.46,,4.46,4.46,4.46,4.46,4.46,1.0,0.18,,0.18,0.18,0.18,0.18,0.18,1.0,47.67,,47.67,47.67,47.67,47.67,47.67,1.0,105.33,,105.33,105.33,105.33,105.33,105.33,1.0,28.64,,28.64,28.64,28.64,28.64,28.64,1.0,69.0,,69.0,69.0,69.0,69.0,69.0
TC,2.0,3.14,0.1131370849898477,3.06,3.1,3.14,3.18,3.22,2.0,7.395,0.9970205614730315,6.69,7.0425,7.395,7.7475,8.1,2.0,0.575,0.1909188309203678,0.44,0.5075,0.575,0.6425,0.71,2.0,42.54,1.2445079348883272,41.66,42.099999999999994,42.54,42.980000000000004,43.42,2.0,127.19,2.0223253941935257,125.76,126.47500000000001,127.19,127.905,128.62,2.0,27.96,0.4384062043356602,27.65,27.805,27.96,28.115,28.27,2.0,81.0,0.0,81.0,81.0,81.0,81.0,81.0
TD,1.0,7.31,,7.31,7.31,7.31,7.31,7.31,1.0,16.35,,16.35,16.35,16.35,16.35,16.35,1.0,0.18,,0.18,0.18,0.18,0.18,0.18,1.0,14.27,,14.27,14.27,14.27,14.27,14.27,1.0,103.75,,103.75,103.75,103.75,103.75,103.75,1.0,22.39,,22.39,22.39,22.39,22.39,22.39,1.0,63.0,,63.0,63.0,63.0,63.0,63.0
TF,2.0,0.515,0.021213203435596444,0.5,0.5075000000000001,0.515,0.5225,0.53,2.0,0.8999999999999999,0.36769552621700463,0.64,0.77,0.8999999999999999,1.03,1.16,2.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,2.0,48.225,6.243752877877213,43.81,46.0175,48.225,50.432500000000005,52.64,2.0,67.56,3.8042344827836225,64.87,66.215,67.56,68.905,70.25,2.0,4.81,3.5779603128039303,2.28,3.545,4.81,6.074999999999999,7.34,2.0,88.0,1.4142135623730951,87.0,87.5,88.0,88.5,89.0
TG,1.0,1.62,,1.62,1.62,1.62,1.62,1.62,1.0,2.76,,2.76,2.76,2.76,2.76,2.76,1.0,0.09,,0.09,0.09,0.09,0.09,0.09,1.0,41.45,,41.45,41.45,41.45,41.45,41.45,1.0,106.28,,106.28,106.28,106.28,106.28,106.28,1.0,26.7,,26.7,26.7,26.7,26.7,26.7,1.0,81.0,,81.0,81.0,81.0,81.0,81.0
TH,4.0,3.63,2.199681795169474,0.91,2.485,3.775,4.92,6.06,4.0,4.35,1.6580510647544402,2.39,3.4175,4.375,5.3075,6.26,4.0,0.76,1.1082418508610836,0.05,0.1625,0.29000000000000004,0.8875000000000001,2.41,4.0,21.005,12.041352360373262,9.67,13.5475,18.5,25.9575,37.35,4.0,132.36,27.284326392027108,94.24,125.4175,138.18,145.1225,158.84,4.0,24.6275,3.808843875333652,19.91,22.3625,25.3,27.565,28.0,4.0,87.75,11.324751652906125,78.0,78.0,87.0,96.75,99.0
TJ,2.0,9.989999999999998,0.05656854249492385,9.95,9.969999999999999,9.989999999999998,10.01,10.03,2.0,13.76,1.0182337649086295,13.04,13.399999999999999,13.76,14.120000000000001,14.48,2.0,1.8399999999999999,0.8768124086713189,1.22,1.53,1.8399999999999999,2.15,2.46,2.0,84.0,7.962022356160519,78.37,81.185,84.0,86.815,89.63,2.0,126.35,15.683628406717618,115.26,120.805,126.35,131.895,137.44,2.0,0.9749999999999996,8.775195154525056,-5.23,-2.1275000000000004,0.9749999999999996,4.0775,7.18,2.0,38.0,2.8284271247461903,36.0,37.0,38.0,39.0,40.0
TK,4.0,1.09,0.11575836902790221,0.93,1.0425,1.125,1.1724999999999999,1.18,4.0,2.9625000000000004,0.20221688027132326,2.67,2.91,3.0300000000000002,3.0825,3.12,4.0,0.025,0.005773502691896256,0.02,0.02,0.025,0.03,0.03,4.0,35.9125,6.704706680136474,26.43,34.095,37.59,39.4075,42.04,4.0,74.64750000000001,3.535622293175559,71.2,72.20500000000001,74.135,76.5775,79.12,4.0,27.8025,0.21990528264080644,27.67,27.677500000000002,27.705,27.83,28.13,4.0,75.0,2.70801280154532,71.0,74.75,76.0,76.25,77.0
TL,1.0,1.76,,1.76,1.76,1.76,1.76,1.76,1.0,3.97,,3.97,3.97,3.97,3.97,3.97,1.0,0.02,,0.02,0.02,0.02,0.02,0.02,1.0,42.6,,42.6,42.6,42.6,42.6,42.6,1.0,111.05,,111.05,111.05,111.05,111.05,111.05,1.0,28.21,,28.21,28.21,28.21,28.21,28.21,1.0,74.0,,74.0,74.0,74.0,74.0,74.0
TM,1.0,2.3,,2.3,2.3,2.3,2.3,2.3,1.0,3.95,,3.95,3.95,3.95,3.95,3.95,1.0,0.18,,0.18,0.18,0.18,0.18,0.18,1.0,86.7,,86.7,86.7,86.7,86.7,86.7,1.0,112.1,,112.1,112.1,112.1,112.1,112.1,1.0,15.16,,15.16,15.16,15.16,15.16,15.16,1.0,60.0,,60.0,60.0,60.0,60.0,60.0
TO,3.0,3.02,0.3296968304366906,2.81,2.83,2.85,3.125,3.4,3.0,15.01,2.7123237269913036,12.42,13.6,14.78,16.305,17.83,3.0,0.02,0.017320508075688773,0.01,0.01,0.01,0.025,0.04,3.0,46.413333333333334,2.877105026469024,43.96,44.83,45.7,47.64,49.58,3.0,73.81333333333333,1.069267662156367,72.88,73.22999999999999,73.58,74.28,74.98,3.0,24.83666666666667,0.34559128075420786,24.48,24.67,24.86,25.015,25.17,3.0,78.66666666666667,2.081665999466133,77.0,77.5,78.0,79.5,81.0
TR,2.0,7.425,0.5868986283848344,7.01,7.217499999999999,7.425,7.6325,7.84,2.0,11.24,0.933380951166243,10.58,10.91,11.24,11.57,11.9,2.0,0.44,0.29698484809834996,0.23,0.335,0.44,0.545,0.65,2.0,93.795,1.5202795795510813,92.72,93.2575,93.795,94.33250000000001,94.87,2.0,115.47,9.517657274770935,108.74,112.10499999999999,115.47,118.83500000000001,122.2,2.0,19.29,3.5355339059327378,16.79,18.04,19.29,20.54,21.79,2.0,58.5,0.7071067811865476,58.0,58.25,58.5,58.75,59.0
TT,3.0,0.6566666666666666,0.12342339054382412,0.52,0.605,0.69,0.725,0.76,3.0,2.33,0.7617742447733449,1.47,2.035,2.6,2.76,2.92,3.0,0.9133333333333334,1.495470940317241,0.03,0.05,0.07,1.355,2.64,3.0,21.689999999999998,2.0508778608196057,19.33,21.015,22.7,22.869999999999997,23.04,3.0,134.89666666666668,20.565612884943,114.24,124.66,135.08,145.22500000000002,155.37,3.0,28.48,0.37802116342871595,28.05,28.34,28.63,28.695,28.76,3.0,76.0,3.4641016151377544,74.0,74.0,74.0,77.0,80.0
TZ,15.0,2.8973333333333335,1.9248319654551913,0.88,2.01,2.19,3.1,7.72,15.0,5.3773333333333335,3.284049039712728,1.38,3.37,4.38,7.6850000000000005,13.74,15.0,0.7973333333333333,0.3538657264852763,0.15,0.605,0.85,0.9450000000000001,1.65,15.0,37.62133333333334,12.019760436563656,23.75,29.39,33.39,42.99,67.6,15.0,115.33533333333335,20.569913141932965,81.53,105.985,107.64,127.48,152.01,15.0,21.906666666666663,3.2679890423550044,15.25,20.405,22.01,23.895000000000003,27.83,15.0,76.06666666666666,17.10666815128227,37.0,68.0,78.0,90.5,94.0
UA,10.0,5.739,1.842368342951841,3.27,4.87,5.225,5.785,9.22,10.0,7.958,2.315771049900131,5.38,6.632499999999999,7.145,7.9225,12.4,10.0,1.048,0.7203671903195543,0.42,0.4325,0.6699999999999999,1.7750000000000001,2.1,10.0,87.888,7.966462758896754,77.25,79.25,92.445,94.18,95.74,10.0,120.47200000000001,9.885486330980383,110.02,112.39,118.73,126.7325,139.85,10.0,13.035,2.606966095334234,8.66,11.212499999999999,13.36,15.4875,15.82,10.0,78.5,5.778311941119905,71.0,74.5,79.0,80.0,90.0
US,174.0,1.929022988505747,1.882427614016493,0.5,0.5,1.375,2.7150000000000003,14.84,174.0,3.7184482758620687,3.846777858204543,0.5,0.9924999999999999,2.335,4.507499999999999,17.81,174.0,0.7148275862068966,0.6628025313282837,0.02,0.1925,0.475,1.085,2.73,174.0,79.73862068965518,12.155430021655398,43.31,72.0325,80.435,87.6275,109.01,174.0,105.81436781609196,15.439118037731443,68.9,97.0675,104.06,112.52250000000001,145.2,174.0,9.006206896551724,9.889589463109877,-12.7,3.0575,10.260000000000002,16.21,25.93,174.0,60.39080459770115,25.020387673832722,13.0,39.25,62.5,81.0,100.0
UY,3.0,0.7799999999999999,0.20518284528683192,0.58,0.675,0.77,0.88,0.99,3.0,1.6433333333333333,0.3003886371574886,1.46,1.47,1.48,1.7349999999999999,1.99,3.0,1.9433333333333334,0.6229232162420449,1.44,1.595,1.75,2.1950000000000003,2.64,3.0,50.35333333333333,8.771233284626131,45.14,45.29,45.44,52.959999999999994,60.48,3.0,88.26666666666665,10.076295615618534,78.72,83.0,87.28,93.03999999999999,98.8,3.0,17.46,2.5288139512427565,14.54,16.725,18.91,18.92,18.93,3.0,61.333333333333336,5.131601439446884,57.0,58.5,60.0,63.5,67.0
UZ,2.0,8.975000000000001,0.1343502884254437,8.88,8.9275,8.975000000000001,9.0225,9.07,2.0,13.275,3.9810111780802617,10.46,11.8675,13.275,14.682500000000001,16.09,2.0,2.32,0.268700576850888,2.13,2.2249999999999996,2.32,2.415,2.51,2.0,104.255,2.0293964620053946,102.82,103.5375,104.255,104.9725,105.69,2.0,135.975,18.646405819889253,122.79,129.3825,135.975,142.5675,149.16,2.0,10.025,6.540737725975565,5.4,7.7125,10.025,12.3375,14.65,2.0,40.0,5.656854249492381,36.0,38.0,40.0,42.0,44.0
