,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm2_5,pm10,pm10,pm10,pm10,pm10,pm10,pm10,pm10,no2,no2,no2,no2,no2,no2,no2,no2,o3,o3,o3,o3,o3,o3,o3,o3,co,co,co,co,co,co,co,co,temperature,temperature,temperature,temperature,temperature,temperature,temperature,temperature,humidity,humidity,humidity,humidity,humidity,humidity,humidity,humidity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
CF,6.0,1.9766666666666666,1.9607005550737895,0.5,0.6825,0.87,3.435,4.71,6.0,3.4683333333333333,3.749418177086501,0.5,0.9025000000000001,1.5,6.432499999999999,8.53,6.0,0.16833333333333333,0.150521316319871,0.01,0.1,0.135,0.1775,0.45,6.0,5.133333333333334,4.572962570004993,0.4,1.8525,3.725,8.807500000000001,11.22,6.0,92.95166666666665,23.182786214488257,52.02,85.115,103.955,105.42500000000001,113.03,6.0,21.765,1.805023545552799,19.67,20.9025,21.380000000000003,22.195,24.95,6.0,88.5,11.77709641634983,71.0,80.5,95.0,96.75,97.0
CG,4.0,1.89,1.7938970613350886,0.5,0.9125000000000001,1.275,2.2525,4.51,4.0,3.3,4.057117203138208,0.5,1.0025,1.705,4.0024999999999995,9.29,4.0,0.635,0.6469672840775388,0.05,0.20750000000000002,0.49,0.9175,1.51,4.0,13.1,17.426089635945292,1.62,3.3075,5.92,15.712499999999999,38.94,4.0,117.07500000000002,8.594577748014538,105.92,112.655,118.65,123.07000000000001,125.08,4.0,21.4575,0.8404909279700765,20.73,20.947499999999998,21.23,21.740000000000002,22.64,4.0,97.5,1.0,96.0,97.5,98.0,98.0,98.0
CI,4.0,3.6575,1.904422484639372,2.14,2.35,3.09,4.3975,6.31,4.0,6.9775,4.473770780896134,3.36,3.7425,5.75,8.985,13.05,4.0,0.7525,0.4099898372724215,0.16,0.64,0.895,1.0075,1.06,4.0,27.045,10.41826121128985,19.53,21.1575,23.145,29.0325,42.36,4.0,127.315,30.94778021118801,84.21,115.8,135.545,147.06,153.96,4.0,24.0325,1.9123523908178284,22.48,22.9375,23.43,24.525,26.79,4.0,85.75,15.628499608087784,63.0,81.75,92.0,96.0,96.0
CK,3.0,3.52,0.22649503305812232,3.31,3.4000000000000004,3.49,3.625,3.76,3.0,12.200000000000001,0.7937253933193771,11.6,11.75,11.9,12.5,13.1,3.0,0.02,0.0,0.02,0.02,0.02,0.02,0.02,3.0,33.00666666666667,3.8165473052660204,30.51,30.810000000000002,31.11,34.254999999999995,37.4,3.0,70.66333333333333,1.2450033467157136,69.42,70.03999999999999,70.66,71.285,71.91,3.0,24.400000000000002,0.249799919935936,24.12,24.3,24.48,24.54,24.6,3.0,84.0,0.0,84.0,84.0,84.0,84.0,84.0
CL,8.0,2.45375,2.9384929932583765,0.5,0.9025000000000001,1.04,2.54,9.16,8.0,5.032500000000001,4.732295577050468,0.5,1.4575,2.6500000000000004,9.395,12.03,8.0,0.16125,0.18325918413937287,0.01,0.01,0.085,0.28500000000000003,0.45,8.0,51.1375,23.226912192540794,28.13,35.1275,43.8,58.7025,88.93,8.0,67.5075,5.980833076228951,61.71,64.4025,65.53,67.5875,80.07,8.0,11.346250000000001,4.049398323913601,4.01,9.06,13.445,14.219999999999999,14.61,8.0,59.75,30.592949701337584,14.0,42.5,67.5,84.5,91.0
CM,7.0,1.6314285714285715,1.920559194361793,0.5,0.67,0.96,1.355,5.91,7.0,2.8785714285714286,4.72979361273276,0.5,0.78,1.15,1.7000000000000002,13.54,7.0,0.6671428571428571,0.4633830052168611,0.05,0.335,0.66,1.0050000000000001,1.28,7.0,11.15,7.027194793562127,2.72,5.205,12.47,15.405000000000001,21.64,7.0,123.04714285714286,17.14881114857598,100.02,113.83,122.82,128.755,153.32,7.0,20.881428571428568,1.1328493364289964,20.15,20.23,20.5,20.865000000000002,23.33,7.0,92.57142857142857,14.432107063270916,60.0,96.5,97.0,99.0,100.0
CN,33.0,3.2924242424242425,2.652152463451892,0.5,0.9,3.06,5.21,9.34,33.0,4.662424242424242,3.740573176585901,0.5,0.95,4.32,7.66,11.34,33.0,0.7157575757575757,0.5947795300730678,0.03,0.26,0.53,0.97,2.34,33.0,46.9830303030303,23.050411396118356,5.92,33.9,52.95,62.78,90.89,33.0,89.57515151515152,23.012829454623255,54.44,71.23,89.08,105.09,158.72,33.0,1.4293939393939394,9.922857117343378,-12.59,-5.03,-3.25,9.42,25.08,33.0,69.87878787878788,28.34360330806315,22.0,40.0,82.0,95.0,100.0
CO,7.0,1.172857142857143,1.241084395273132,0.5,0.5,0.51,1.16,3.88,7.0,1.625714285714286,2.1669322181589434,0.5,0.5,0.51,1.505,6.36,7.0,0.5085714285714286,0.6022576572483622,0.01,0.05500000000000001,0.34,0.72,1.66,7.0,19.03142857142857,15.789356571829677,3.87,5.744999999999999,15.8,27.855,46.35,7.0,100.36714285714288,29.751067047690753,67.1,84.45,101.21,102.35499999999999,160.65,7.0,26.475714285714282,2.7564037992939108,22.65,24.655,25.92,29.064999999999998,29.32,7.0,83.42857142857143,12.367391841143425,67.0,73.0,89.0,92.0,98.0
CR,1.0,0.63,,0.63,0.63,0.63,0.63,0.63,1.0,1.44,,1.44,1.44,1.44,1.44,1.44,1.0,0.28,,0.28,0.28,0.28,0.28,0.28,1.0,26.0,,26.0,26.0,26.0,26.0,26.0,1.0,79.66,,79.66,79.66,79.66,79.66,79.66,1.0,26.24,,26.24,26.24,26.24,26.24,26.24,1.0,85.0,,85.0,85.0,85.0,85.0,85.0
CU,8.0,4.345000000000001,1.269049137853107,2.94,3.48,4.28,4.58,7.0,8.0,8.90375,3.4114175415591017,4.01,7.0625,8.280000000000001,10.66,15.21,8.0,0.32999999999999996,0.19552128126772142,0.16,0.2,0.245,0.44,0.73,8.0,75.40374999999999,19.888612633866643,49.7,61.084999999999994,75.32499999999999,91.595,99.52,8.0,113.515,18.85328921662515,92.65,101.82,113.89,118.71249999999999,151.82,8.0,27.4125,1.6540836910939112,25.8,26.3125,27.380000000000003,27.57,31.11,8.0,72.875,10.119817897853414,56.0,68.75,76.0,80.25,83.0
CY,1.0,9.31,,9.31,9.31,9.31,9.31,9.31,1.0,15.43,,15.43,15.43,15.43,15.43,15.43,1.0,0.36,,0.36,0.36,0.36,0.36,0.36,1.0,98.12,,98.12,98.12,98.12,98.12,98.12,1.0,117.19,,117.19,117.19,117.19,117.19,117.19,1.0,24.34,,24.34,24.34,24.34,24.34,24.34,1.0,51.0,,51.0,51.0,51.0,51.0,51.0
