datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature
2025-10-30T22:11:34,22.813332195125682,-151.821502480393,,,0.7,2.54,0.02,0.04,68.49,86.87,76,6.43,24.77
2025-10-30T22:11:33,-63.91085708351386,-53.50429192398302,,,0.51,0.94,0.0,0.12,42.06,82.14,94,4.07,-0.15
2025-10-30T22:11:32,-9.616709121030809,-121.30386144302375,,,1.77,9.58,0.01,0.14,57.12,68.51,73,7.67,24.08
2025-10-30T22:11:31,-83.63937944054396,-118.26816443235519,,,0.5,0.5,0.0,0.0,40.64,58.55,80,7.95,-19.02
2025-10-30T22:11:30,40.347011773522496,52.7399646224778,TM,Türkmenbaşy,2.3,3.95,0.18,0.4,86.7,112.1,60,4.54,15.16
2025-10-30T22:11:29,42.02389897517676,-165.4896376854708,,,1.8,8.24,0.13,0.3,82.33,117.73,70,12.69,10.6
2025-10-30T22:11:28,-82.88899581776438,76.38356583986922,,,0.5,0.5,0.0,0.0,30.01,50.07,96,8.78,-38.94
2025-10-30T22:11:27,18.464151590902745,27.38575750184168,,,26.6,97.33,0.08,0.69,62.27,88.08,26,4.6,20.85
2025-10-30T22:11:26,-21.533615563207363,-42.357658706647726,BR,Recreio,4.12,9.83,11.07,4.35,34.83,152.0,94,1.65,21.09
2025-10-30T22:11:25,43.66335968193417,6.138641470398056,FR,Régusse,4.07,6.09,5.16,0.94,64.26,191.92,93,1.78,9.53
2025-10-30T22:11:24,49.44512382284839,140.36065694125807,RU,Vanino,10.6,10.69,1.03,0.7,64.63,205.96,80,2.41,-2.95
2025-10-30T22:11:23,-31.778280582113993,164.2971150462182,,,1.5,6.3,0.1,0.29,57.87,67.04,79,9.07,18.49
2025-10-30T22:11:22,21.04774961149056,-8.653332720452795,,,67.73,346.17,0.04,0.01,38.65,93.28,15,3.69,29.69
2025-10-30T22:11:21,-13.40969690000999,-42.1050318343172,BR,Paramirim,2.06,2.58,0.72,0.09,64.83,94.59,36,4.12,26.8
2025-10-30T22:11:20,74.06287804737471,17.940306641641143,,,0.5,1.11,0.3,0.12,52.78,122.25,91,5.92,4.8
2025-10-30T22:11:19,31.242996116135416,-28.590889705394773,,,0.88,3.18,0.07,0.06,88.44,89.53,73,8.24,23.27
2025-10-30T22:11:18,-23.729495616855317,35.58194648780113,MZ,Régulo Cassiano,2.49,8.16,0.09,0.31,54.55,77.78,80,8.07,23.97
2025-10-30T22:11:17,50.959684747203255,44.34226989505527,RU,Rudnya,2.09,2.55,2.8,0.1,31.96,155.0,85,2.55,4.71
2025-10-30T22:11:16,-19.248310163740513,-21.21183971110895,,,1.16,4.28,0.02,0.05,55.77,69.96,75,7.54,21.9
2025-10-30T22:11:15,-26.46420674137149,-49.15126971766972,BR,Pedra Branca,2.55,3.13,2.73,1.1,36.26,79.35,94,0.29,18.17
2025-10-30T22:11:14,49.39553745962931,-10.269486464205528,,,1.81,8.05,0.21,0.25,87.57,94.73,78,14.83,13.84
2025-10-30T22:11:13,88.32414104576873,-107.03545513395062,,,0.5,0.5,0.0,0.05,67.5,112.41,96,5.04,-12.51
2025-10-30T22:11:12,33.539166426085885,44.13644071743016,IQ,‘Abd Shaḩḩādh Mūsá,23.73,110.01,4.26,0.76,83.96,153.1,18,4.54,17.74
2025-10-30T22:11:11,-47.731204252896106,139.7337309281342,,,0.98,4.13,0.02,0.08,58.61,67.32,81,8.38,9.37
2025-10-30T22:11:10,75.56280901035097,-81.83743527677419,,,0.5,0.5,0.19,0.13,82.85,104.71,87,3.06,-11.1
2025-10-30T22:11:09,-78.29423908521356,-49.555818857753536,,,0.5,0.5,0.0,0.0,41.38,66.35,91,2.07,-14.61
2025-10-30T22:11:08,-62.246348727604065,-40.8370237707378,,,1.95,6.05,0.0,0.17,29.75,69.6,94,12.52,0.39
2025-10-30T22:11:07,72.19127793552622,34.05266155459924,,,0.5,0.71,0.07,0.09,75.13,111.67,69,10.06,4.16
2025-10-30T22:11:06,-55.414627712795564,-175.17709284674802,,,0.5,0.56,0.0,0.05,46.08,66.54,54,14.92,3.3
2025-10-30T22:11:05,-14.060037045645473,25.224189865784155,ZM,Mufumbwe,6.75,9.04,0.48,0.35,61.16,157.65,41,1.61,24.45
2025-10-30T22:11:04,-19.16719236136369,91.33998649194194,,,1.28,5.57,0.04,0.15,74.85,72.37,73,7.43,21.46
2025-10-30T22:11:03,75.21328367246781,-147.17225516238122,,,0.61,0.85,0.01,0.08,73.6,106.49,96,4.72,-15.77
2025-10-30T22:11:02,-65.29307097332641,32.56359926826451,,,0.59,1.79,0.01,0.19,43.17,70.06,94,8.67,-8.05
