datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature
2025-12-02T13:48:35,81.70265378443187,-108.06565250475856,CA,Kugluktuk,0.5,0.5,0.0,0.13,81.8,123.09,94.0,4.98,-23.7
2025-12-02T13:48:28,81.11443028495808,-165.17069854812632,US,Barrow,1.26,1.35,0.0,0.15,69.66,122.11,97.0,5.47,-19.52
2025-12-02T13:48:26,69.95517207350676,3.0918729656754067,NO,Steinshamn,0.53,2.08,0.02,0.05,89.62,111.78,55.0,10.68,2.02
2025-12-02T13:48:23,89.83909616448605,-9.069593114011354,SJ,Olonkinbyen,0.65,1.23,0.01,0.22,77.32,121.13,98.0,5.33,-18.19
2025-12-02T13:48:21,-68.61503911235108,-129.899621437577,PN,Adamstown,0.5,0.5,0.01,0.35,31.57,60.43,87.0,1.93,-4.44
2025-12-02T13:48:19,88.05391514419483,153.86884380015715,RU,Chokurdakh,0.5,0.5,0.0,0.04,77.99,123.59,99.0,2.44,-24.06
2025-12-02T13:48:17,6.798299854755811,-159.23793319888534,KI,Napari Village,0.91,2.03,0.03,0.07,33.87,88.15,81.0,6.52,26.68
2025-12-02T13:48:15,-63.36606842541735,-162.0803078579388,NZ,Waitangi,0.64,0.87,0.01,0.4,28.6,64.36,98.0,4.88,-0.65
2025-12-02T13:48:12,-71.46915449232738,95.75445247364502,TF,Port-aux-Francais,0.5,0.5,0.0,0.0,26.06,46.02,89.0,4.69,-31.94
2025-12-02T13:48:08,60.97708496109741,-13.131636059679067,IS,Hoefn,0.5,0.56,0.08,0.03,70.68,121.08,70.0,8.09,8.9
2025-12-02T13:48:06,77.71542902336395,73.31618244814544,RU,Dikson,0.5,1.22,0.02,0.12,82.81,125.72,86.0,12.95,-10.97
2025-12-02T13:48:01,76.8640590328389,-80.26190385696574,CA,Clyde River,0.5,0.5,0.03,0.05,78.7,120.98,100.0,1.66,-28.71
2025-12-02T13:47:59,29.779171353234688,-160.2376261206649,US,Princeville,1.05,2.99,0.11,0.06,56.09,90.38,87.0,5.22,22.09
2025-12-02T13:47:57,52.3832413435191,157.62952137867563,RU,Paratunka,0.5,1.08,0.16,0.06,77.67,131.65,96.0,1.22,-5.37
2025-12-02T13:47:50,-50.49083074258474,-174.10730775990916,NZ,Waitangi,0.5,0.71,0.02,0.14,31.7,62.25,70.0,4.37,10.26
2025-12-02T13:47:48,-48.99277710684251,-173.71512826286087,NZ,Waitangi,0.5,0.96,0.02,0.14,30.84,63.09,77.0,4.22,10.05
2025-12-02T13:47:46,-70.9202999125703,132.31352649732514,AU,Geeveston,0.5,0.5,0.0,0.0,20.35,46.82,100.0,1.93,-31.11
2025-12-02T13:47:44,4.96506334987356,-90.9335779242486,EC,Puerto Ayora,2.94,10.34,0.06,0.2,27.87,76.72,82.0,5.97,25.4
2025-12-02T13:47:42,67.17671214333342,-85.5193323562481,CA,Naujaat,0.85,0.96,0.02,0.01,68.86,127.86,98.0,4.5,-27.68
2025-12-02T13:47:35,-38.71238782548658,-83.89323120013664,CL,Lebu,0.91,3.3,0.02,0.2,31.91,68.19,81.0,4.63,14.77
2025-12-02T13:47:33,29.175369351746028,161.72946014755155,MH,Enewetak,2.37,10.37,0.2,0.16,95.92,106.12,59.0,8.64,21.41
2025-12-02T13:47:31,83.86610873406019,139.81867389825464,RU,Ust-Kuyga,0.74,0.78,0.0,0.16,75.37,123.55,92.0,3.8,-19.83
2025-12-02T13:47:20,81.60669973939798,127.23375273982543,RU,Tiksi,0.59,0.65,0.0,0.16,76.37,122.52,98.0,2.97,-24.63
2025-12-02T13:47:18,-61.646541032469,-146.22914954412718,NZ,Waitangi,1.08,1.1,0.01,0.11,23.41,63.5,100.0,3.56,-0.38
2025-12-02T13:47:15,69.77831630117123,-106.11178769858968,CA,Cambridge Bay,0.78,0.97,0.0,0.05,68.48,128.86,97.0,5.01,-29.59
2025-12-02T13:47:11,-83.87366131151256,174.50011977092794,AQ,McMurdo Station,0.5,0.5,0.0,0.0,27.88,47.99,67.0,2.99,-5.47
2025-12-02T13:47:09,-86.79950093797486,38.03848384373271,TF,Port-aux-Francais,0.5,0.5,0.0,0.0,30.13,49.05,82.0,2.41,-24.09
2025-12-02T13:47:07,-1.3231186464000615,-157.95025583679617,KI,London Village,1.73,7.84,0.02,0.17,22.31,83.97,75.0,5.66,25.87
2025-12-02T13:47:04,-85.67678549460399,83.41850595441502,TF,Port-aux-Francais,0.5,0.5,0.0,0.0,25.98,48.2,98.0,3.32,-29.95
2025-12-02T13:47:02,24.840423899254745,-87.15822262991128,MX,Rio Lagartos,2.87,7.17,0.16,0.21,73.0,101.74,67.0,7.08,25.67
2025-12-02T13:46:58,74.53531203015163,65.85802858964928,RU,Tsementnozavodskiy,0.5,0.5,0.1,0.05,67.92,124.68,71.0,5.17,-7.69
2025-12-02T13:46:54,-2.947860064896119,24.92970856772945,CD,Maniema Province,1.11,1.24,0.11,0.01,34.27,153.8,95.0,0.61,22.74
2025-12-02T13:46:49,21.401524306218437,-138.44551798278684,US,Hawaiian Beaches,0.78,1.62,0.04,0.02,77.14,93.78,76.0,2.41,21.84
2025-12-02T13:46:45,-29.98234393430649,10.285915895917183,NA,Luderitz,2.21,8.25,0.02,0.23,29.34,76.33,90.0,7.23,19.39
2025-12-02T13:46:43,-58.62659410584504,81.30985056280025,TF,Port-aux-Francais,0.56,0.95,0.0,0.44,22.28,61.15,99.0,8.67,-0.08
2025-12-02T13:46:41,-29.91571544247988,170.21786485252738,NF,Kingston,3.38,10.4,0.08,0.26,23.48,77.63,90.0,8.25,23.08
2025-12-02T13:46:36,78.14107011463128,32.19609118531108,NO,Vuorea,0.5,0.57,0.04,0.07,68.65,129.09,66.0,8.89,-2.94
2025-12-02T13:46:34,-5.970194196377662,-173.91781420611963,TK,Atafu Village,0.68,2.93,0.01,0.05,22.49,74.83,77.0,3.25,27.28
2025-12-02T13:46:32,-80.55876492304102,48.89612119817363,TF,Port-aux-Francais,0.5,0.5,0.0,0.0,26.92,44.9,89.0,3.68,-31.36
2025-12-02T13:46:25,77.36756325369788,107.88768158971315,RU,Khatanga,0.5,0.5,0.01,0.0,73.07,134.56,98.0,3.14,-20.65
2025-12-02T13:46:23,81.1714704868337,-71.32315706817221,CA,Clyde River,0.5,0.5,0.01,0.0,86.91,122.61,80.0,2.43,-31.0
2025-12-02T13:46:16,-67.80601968579572,92.21684369399702,TF,Port-aux-Francais,0.5,0.5,0.0,0.0,32.39,50.58,79.0,5.94,-19.33
2025-12-02T13:46:14,-77.5085137265182,-153.6690934871093,NZ,Waitangi,0.5,0.5,0.0,0.0,27.54,60.32,75.0,4.45,-12.59
2025-12-02T13:46:08,-72.02266765976856,112.7786422780382,AU,Grasmere,0.5,0.5,0.0,0.0,20.75,48.45,91.0,4.57,-33.88
2025-12-02T13:46:03,70.32624811151564,156.56813133096165,RU,Srednekolymsk,0.5,0.5,0.01,0.01,47.2,137.93,100.0,0.82,-34.92
2025-12-02T13:45:57,-25.446894225972287,-102.438013250336,CL,Ostrov Paskhi,0.91,3.53,0.03,0.09,54.12,60.83,70.0,5.27,20.61
2025-12-02T13:45:55,-80.28132694109188,-3.664895094820935,GS,Grytviken,0.5,0.5,0.0,0.0,21.58,52.47,89.0,1.22,-18.9
2025-12-02T13:45:52,3.3809707681391785,75.89888317585331,MV,Felidhoo,1.23,4.42,0.02,0.14,28.08,72.28,78.0,6.55,27.43
2025-12-02T13:45:50,82.9267869774852,98.22657877933524,RU,Khatanga,0.5,0.5,0.0,0.03,79.93,127.93,96.0,1.79,-25.07
2025-12-02T13:45:41,-63.43494795342216,-118.46997956492956,CL,Hanga Roa,0.5,0.5,0.01,0.28,32.77,60.56,77.0,3.59,-0.48
2025-12-02T13:45:39,71.97575383490957,-45.72602971409515,GL,Ilulissat,0.5,0.5,0.01,0.0,78.43,89.82,100.0,7.11,-28.95
2025-12-02T13:45:32,88.37020790583765,-55.262787303361705,GL,Upernavik,0.95,1.46,0.02,0.23,73.97,125.42,95.0,6.76,-12.88
2025-12-02T13:45:28,-63.77829311076294,-121.8119886613198,CL,Hanga Roa,0.5,0.5,0.01,0.11,28.57,60.88,93.0,0.99,-0.47
2025-12-02T13:45:26,-40.84680310575008,-107.42885882086836,CL,Hanga Roa,0.78,3.18,0.02,0.28,44.53,60.5,74.0,4.82,11.74
2025-12-02T13:45:21,-72.30756728309478,151.3488869893991,AQ,McMurdo Station,0.5,0.5,0.0,0.0,25.19,48.62,100.0,2.54,-27.2
2025-12-02T13:45:19,75.57700356619381,-152.9881810148851,US,Nuiqsut,1.7,1.78,0.0,0.17,57.31,124.2,100.0,2.67,-25.11
2025-12-02T13:45:17,-84.7719293247501,-73.72962514503874,AR,Ushuaia,0.5,0.5,0.0,0.0,24.19,56.45,82.0,3.81,-15.58
2025-12-02T13:44:59,-82.04964786132366,85.74490706571254,TF,Port-aux-Francais,0.5,0.5,0.0,0.0,31.5,45.06,98.0,2.88,-34.11
2025-12-02T13:44:57,77.26325176023391,132.92956292066276,RU,Tiksi,0.5,0.52,0.02,0.19,59.61,126.3,95.0,1.18,-21.5
2025-12-02T13:44:53,-57.22085858822788,-120.06555598930572,CL,Hanga Roa,0.58,1.43,0.0,0.19,34.62,60.87,90.0,12.91,3.4
2025-12-02T13:44:51,87.88167575920255,12.144087511623212,SJ,Longyearbyen,0.56,1.71,0.02,0.19,82.9,123.04,95.0,6.41,-9.3
2025-12-02T13:44:48,55.12301850377759,-69.8133008024573,CA,Fermont,0.5,0.5,0.11,0.02,75.1,114.74,94.0,7.69,-18.39
2025-12-02T13:44:46,74.57051984336297,31.89277601721531,NO,Vuorea,0.5,0.87,0.02,0.06,79.95,118.13,66.0,5.56,0.97
2025-12-02T13:44:44,81.4674884547587,-3.788589445394962,SJ,Olonkinbyen,0.5,0.5,0.01,0.03,75.51,125.69,95.0,5.06,-15.52
2025-12-02T13:44:42,-87.60001281592552,-144.10742914048143,NZ,Waitangi,0.5,0.5,0.0,0.0,22.58,47.87,94.0,7.96,-21.56
2025-12-02T13:44:40,77.89773447138623,-71.32099702576491,GL,Qaanaaq,0.5,0.5,0.01,0.03,79.51,119.74,80.0,3.45,-20.24
2025-12-02T13:44:35,76.14891362066678,-162.4332256333838,US,Barrow,1.0,1.37,0.02,0.19,59.46,133.57,96.0,4.27,-27.77
2025-12-02T13:44:31,-27.602077367169024,-163.87385559180132,CK,Avarua,0.5,0.95,0.03,0.02,22.56,73.87,82.0,2.88,21.22
2025-12-02T13:44:24,60.99437988329606,-126.16902719721584,CA,Watson Lake,0.5,0.5,0.06,0.01,49.32,115.9,98.0,0.43,-12.39
2025-12-02T13:44:20,70.70503630501776,-50.1814200656527,GL,Uummannaq,0.5,0.5,0.01,0.0,101.26,130.24,61.0,5.88,-20.56
2025-12-02T13:44:16,-79.52737729762822,4.0147695995770505,SH,Edinburgh of the Seven Seas,0.5,0.5,0.0,0.0,20.02,49.88,94.0,2.11,-22.09
2025-12-02T13:44:07,32.3386697252557,163.99629433933836,RU,Severo-Kuril'sk,1.65,5.87,0.21,0.17,98.89,112.9,63.0,5.07,18.6
2025-12-02T13:44:05,68.69821538519483,-113.55742909208388,CA,Kugluktuk,0.5,0.69,0.01,0.01,76.43,128.34,99.0,0.8,-25.6
2025-12-02T13:44:02,20.302748029758614,-93.22959702973846,MX,Frontera,3.53,6.54,0.08,0.11,66.51,107.45,77.0,3.83,25.51
2025-12-02T13:44:00,-33.23818118717149,5.766352124262824,NA,Luderitz,1.09,3.3,0.03,0.04,27.67,74.83,85.0,1.35,20.23
2025-12-02T13:43:58,-86.58812169801999,-95.78013139036015,CL,Punta Arenas,0.5,0.5,0.0,0.0,22.75,49.92,95.0,2.51,-20.53
2025-12-02T13:43:56,-70.50803619736607,-132.35141336960646,PN,Adamstown,0.5,0.5,0.01,0.28,34.07,60.88,81.0,4.01,-2.64
2025-12-02T13:43:52,-6.499619555201448,-26.73634266582198,BR,Fernando de Noronha (Distrito Estadual),2.18,9.28,0.01,0.11,44.83,84.45,80.0,6.46,25.79
2025-12-02T13:43:47,14.753249672138494,-111.08381817749742,MX,Jose Maria Pino Suarez (Nuevo Nahuapa),0.51,1.75,0.06,0.06,47.06,95.11,77.0,4.25,26.4
2025-12-02T13:43:43,-0.0963561998897688,-128.08720341188422,PF,Atuona,2.09,9.19,0.01,0.19,29.82,82.86,77.0,6.41,23.61
