datetime,lat,lon,country,city,pm2_5,pm10,no2,so2,o3,co,humidity,wind_speed,temperature,pm10_class_predicted,pm10_high_probability,pm10_class_true
2025-10-30 22:02:21,-50.53843019738724,-67.2296444121543,AR,Puerto Santa Cruz,1.33,4.35,0.08,0.13,35.8,69.8,68,4.52,10.44,0,0.44212790865600676,1
2025-10-30 22:02:14,-5.664926435831305,-49.67929785012447,BR,Parauapebas,2.43,2.95,1.44,0.07,32.36,129.4,63,1.05,28.17,0,0.047993129959392845,0
2025-10-30 22:02:07,-0.1647785908666605,11.54091620188538,GA,Booué,1.4,1.74,0.72,0.03,6.83,99.64,99,0.29,21.37,0,0.11466465059158085,0
2025-10-30 22:02:05,61.5134669859259,71.84389424918297,RU,Lyantor,6.74,6.91,0.51,0.03,38.11,132.03,98,3.68,4.22,0,0.061373658719914,1
2025-10-30 22:01:56,-29.42592634995087,21.21988786718319,ZA,Northern Cape,1.86,3.71,0.34,0.03,71.38,128.16,47,3.14,25.11,0,0.3154417585309226,0
2025-10-30 22:01:46,-4.978348941487738,39.9411246408651,TZ,Micheweni,3.27,13.74,1.06,0.5,26.45,107.64,89,3.74,24.83,1,0.6246446713058256,1
2025-10-30 22:01:42,22.00362184863112,-72.17757012853892,TC,Kew,3.22,6.69,0.71,0.39,41.66,125.76,81,6.1,27.65,0,0.4596692971074812,1
2025-10-30 22:01:41,39.800379230852855,-102.98488591982743,US,Washington,1.29,2.14,0.67,0.26,87.88,86.97,28,4.38,13.8,0,0.19149011197389007,0
2025-10-30 22:01:28,59.69699962568939,136.39678325084452,RU,Solnechnyy,0.5,0.5,0.02,0.01,55.21,120.09,96,0.58,-11.68,0,0.009816466639605647,0
2025-10-30 22:01:23,-30.52115237744201,26.31260119178438,ZA,Josefsdeel,1.71,2.15,0.74,0.21,70.38,143.7,51,6.36,18.82,0,0.4796288838620236,0
2025-10-30 22:01:21,60.59184065065628,-112.90853336228318,CA,Canada,0.5,0.5,0.15,0.02,53.28,105.58,63,3.28,1.82,0,0.023856073175411937,0
2025-10-30 22:01:16,-25.773060250112465,-66.63627583997571,AR,Cafayate,0.96,1.96,0.2,0.08,84.92,84.47,12,7.39,3.94,0,0.0074807495463275545,0
2025-10-30 22:01:12,11.677333993790567,98.68364442697214,MM,Myeik,2.83,3.34,0.02,0.04,46.13,160.5,91,2.21,24.19,0,0.45738256990945003,0
2025-10-30 22:00:58,71.13145072808783,-21.456136264697165,GL,Ittoqqortoormiit,0.5,0.52,0.03,0.01,96.55,106.44,95,9.61,-3.09,0,0.024921963682162384,0
2025-10-30 22:00:41,-13.800394085816263,-39.14242516177657,BR,Igrapiúna,1.53,4.82,0.89,0.16,52.66,96.82,91,2.53,22.79,0,0.45738256990945003,1
2025-10-30 22:00:39,9.081845316337407,168.91834466162908,MH,Likiep,0.5,0.5,0.01,0.01,14.24,72.69,82,9.05,27.18,1,0.8027723933467823,0
2025-10-30 22:00:35,25.98256608529816,-100.27510347992552,MX,Salinas Victoria,3.84,5.59,0.81,1.33,84.33,96.89,25,5.2,22.57,1,0.6491246299975602,1
2025-10-30 22:00:33,-20.57716510501132,170.03302217125787,VU,Tafea Province,2.22,9.31,0.02,0.17,21.51,71.92,79,3.87,26.07,1,0.5831827541796757,1
2025-10-30 22:00:29,1.478890005393609,-67.42872487227113,VE,San Carlos de Rio Negro,0.5,0.5,0.01,0.0,7.38,94.14,98,1.19,23.75,0,0.1410634055035519,0
2025-10-30 22:00:14,72.30912503929534,-86.31021309798075,CA,Arctic Bay,0.5,0.5,0.08,0.02,71.15,106.56,76,2.01,-6.96,0,0.011180578888183908,0
2025-10-30 22:00:07,-23.121872616362666,27.00688344126749,BW,Moko,0.93,1.5,0.54,0.34,45.27,116.12,73,6.64,20.4,1,0.9165538118929095,0
2025-10-30 22:00:00,-22.6993531600629,149.0672641842679,AU,Ogmore,1.8,3.33,0.52,0.29,23.68,83.6,65,2.21,28.18,0,0.13071327170103195,0
2025-10-30 21:59:58,1.2528128696795164,122.73318535823852,ID,Sidomulyo,3.2,3.83,1.31,0.22,27.01,156.93,68,2.91,28.99,0,0.08054741653580155,0
2025-10-30 21:59:57,56.91923467446239,-7.505074099660618,GB,Daliburgh,1.14,2.81,0.88,0.17,85.01,93.82,89,23.87,8.69,1,0.8032266325401661,0
2025-10-30 21:59:53,69.76125925578307,-122.36703491047012,CA,Northwest Territories,0.5,0.51,0.03,0.0,66.74,100.48,87,2.83,-8.6,0,0.012329609901416946,0
2025-10-30 21:59:48,-0.8340741368178328,19.8913524734636,CD,Boluka,0.7,1.05,0.16,0.03,0.99,92.83,99,0.52,20.68,0,0.1575009471259692,0
2025-10-30 21:59:46,-11.519903236162534,25.54650572530997,CD,Lumpundu,5.34,6.34,0.57,0.38,27.04,143.84,65,2.12,19.26,1,0.5150945952807914,1
2025-10-30 21:59:34,-43.49170310881172,174.54437619384294,NZ,Cheviot,0.82,2.98,0.04,0.11,48.2,68.67,86,9.66,10.12,1,0.7143427476588172,0
2025-10-30 21:59:33,79.19047108013476,-97.9118271823028,CA,Isachsen,0.5,0.52,0.02,0.02,75.42,107.64,95,2.43,-13.78,0,0.012329609901416946,0
2025-10-30 21:59:28,-13.231979233279816,-59.87248903576084,BR,Nova Alvorada,0.9,1.02,0.11,0.02,26.96,106.76,82,0.6,22.52,0,0.12112232377651039,0
2025-10-30 21:59:16,52.95562608168879,109.2685119689354,RU,Buryatiya Republic,0.5,0.5,0.31,0.07,90.21,102.79,98,3.86,-1.28,0,0.012329609901416946,0
2025-10-30 21:59:14,68.39577163120669,109.25939632582912,RU,Olenyok,0.5,0.5,0.01,0.03,82.21,105.27,94,2.78,-17.05,0,0.005818416406467521,0
2025-10-30 21:59:13,64.7215966733402,-134.7294764863418,CA,Mayo,0.5,0.5,0.28,0.1,73.13,95.18,98,5.1,-11.13,0,0.012443150377660143,0
2025-10-30 21:59:01,-9.437754328046594,-53.932222788341335,BR,Cachimbo,2.48,2.59,0.39,0.02,18.31,138.58,73,0.86,25.09,0,0.1759664385235011,0
2025-10-30 21:59:00,-1.8391487815544136,-47.07179350678285,BR,Capitão Poço,3.61,8.37,0.84,0.55,49.9,116.94,57,4.72,28.69,0,0.3800194888074631,1
2025-10-30 21:58:59,67.20877953569254,-13.431529138754485,IS,Raufarhofn,0.5,0.5,0.12,0.06,85.18,102.51,67,5.48,1.16,0,0.010492543531757248,0
2025-10-30 21:58:58,-21.46689213278269,44.84760815680778,MG,Beroroha,4.27,9.22,0.37,0.12,47.27,92.31,55,1.1,24.09,0,0.08882177550967714,1
2025-10-30 21:58:56,49.74121157763648,-56.21890480199667,CA,Middle Arm,0.52,0.58,0.11,0.03,50.41,95.82,87,1.82,6.03,0,0.12665397816659488,0
2025-10-30 21:58:54,25.25444245910323,-81.4845193142835,US,Monroe,3.16,11.74,0.4,0.37,103.59,99.39,63,9.51,25.26,1,0.9603962922148335,1
